disease,symptom,Number of diseases,values
Perinatal jaundice due to hepatocellular damage,Hepatocellular jaundice,4.0,1
Convulsions in the newborn,Seizure,169.0,1
[X]Other specified conditions originating in the perinatal period,Fetal souffle,1.0,1
[X]Other specified conditions originating in the perinatal period,Excessive crying of newborn,1.0,1
[X]Other specified conditions originating in the perinatal period,Disorder of umbilicus,12.0,1
Corneal deposit,Corneal pigmentations and deposits,4.0,1
Corneal deposit,Melanin pigmentation of cornea,2.0,1
Corneal deposit,Blood pigmentation of cornea,2.0,1
External ophthalmoplegia,Ophthalmoplegia (disorder),11.0,1
Multiple joint pain,Joint pain,2.0,1
Deficiency state,Starvation (disorder),5.0,1
Undernourished,Starvation (disorder),5.0,1
Nutritional deficiency,Starvation (disorder),5.0,1
Deficiency state,Inanition (disorder),1.0,1
Undernourished,Inanition (disorder),1.0,1
Nutritional deficiency,Inanition (disorder),1.0,1
Bacterial infection of skin,Meningococcal rash,3.0,1
Fukuhara syndrome,Seizure,169.0,1
Myoclonus epilepsy AND ragged red fibers,Seizure,169.0,1
Myoclonic epilepsy - ragged red fibers,Seizure,169.0,1
Hypogonadism with anosmia,Loss of sense of smell,2.0,1
Vascular disease of the skin,Face goes red,3.0,1
Vascular disease of the skin,Stellate pseudoscar,5.0,1
Skin hypopigmented,Achromia of skin (disorder),4.0,1
Depigmentation,Achromia of skin (disorder),4.0,1
Disorder of skin AND/OR subcutaneous tissue,Blanching of skin (finding),1.0,1
Disorder of skin AND/OR subcutaneous tissue,Scaly scalp,1.0,1
Disorder of skin AND/OR subcutaneous tissue,Perineal irritation,1.0,1
Disorder of skin AND/OR subcutaneous tissue,Abnormal complexion,1.0,1
Disorder of skin AND/OR subcutaneous tissue,Stinging of skin,1.0,1
Disorder of skin AND/OR subcutaneous tissue,Sore skin (finding),2.0,1
Disorder of reproductive system,Pruritus of genital organs,1.0,1
Algoneurodystrophy (disorder),Pain (finding),136.0,1
Fatal familial insomnia,Insomnia (disorder),7.0,1
Cardiac syndrome X,Chest pain,4.0,1
Cardiac syndrome X,[X]Other chest pain,1.0,1
Endolymphatic hydrops,Secondary endolymphatic hydrops,2.0,1
Familial neonatal seizures,Seizure,169.0,1
Benign neonatal familial convulsions,Seizure,169.0,1
Mauriac's syndrome,Large liver,2.0,1
Myxedema heart disease,Hard edema,5.0,1
Ophthalmoplegic migraine,Headache (finding),59.0,1
Ophthalmoplegic migraine,Ophthalmoplegia (disorder),11.0,1
Abortive cerebellar ataxia,Cerebellar ataxia,11.0,1
Obstipation (disorder),Constipation (disorder),12.0,1
Urticaria due to cold,Cold reflex urticaria,2.0,1
Urticaria due to cold,Delayed cold sensitivity,2.0,1
Angular cheilitis,(Sore lip) or (angular stomatitis &/or cheilitis),1.0,1
Perleche,(Sore lip) or (angular stomatitis &/or cheilitis),1.0,1
Necrolytic migratory erythema,Erythema of skin,89.0,1
Necrolytic migratory erythema,Erythematous condition,89.0,1
Dystrophia unguium,Koilonychia,5.0,1
Dystrophia unguium,Lamellar nail splitting,2.0,1
Dystrophia unguium,Beau's lines,2.0,1
Retraction of nipple (disorder),[X]Other signs and symptoms in breast,2.0,1
Syphilitic gumma (disorder),Gummatous inflammation (morphologic abnormality),8.0,1
Joint function disorder,Range of joint movement increased,1.0,1
Joint function disorder,Joint laxity,1.0,1
Xiphodynia,Chest pain,4.0,1
Xiphodynia,Bone pain (finding),2.0,1
Achillodynia,Pain in lower limb (finding),2.0,1
Achillodynia,Tenalgia,1.0,1
Ventilatory defect,Abnormal breathing,1.0,1
Ether apnea,Drug-induced apnea,1.0,1
Continuous murmur,"[D]Heart murmur, undiagnosed",1.0,1
Chronic constipation with overflow,Diarrhea symptom,39.0,1
Chronic constipation with overflow,Loose stool,39.0,1
Nervous diarrhea,Diarrhea symptom,39.0,1
Nervous diarrhea,Loose stool,39.0,1
Hydrorrhea gravidarum,Clinical sign related to pregnancy,1.0,1
Exhaustion delirium,Exhaustion,2.0,1
Physiological disturbance associated with mood,Mood hypersomnia,1.0,1
General areflexia,Abnormal reflex,3.0,1
Acroparesthesia (finding),Paresthesia (finding),1.0,1
Allergic headache,Headache (finding),59.0,1
Atypical neuralgia,Neuropathic pain,16.0,1
Atypical neuralgia,Pain (finding),136.0,1
Stump neuralgia,Pain (finding),136.0,1
Athetoid paralysis,Athetoid movement,8.0,1
Athetoid paralysis,Involuntary movement,5.0,1
Athetoid paralysis,Involuntary movement symptom,5.0,1
Hypotensive syncope,Syncope symptom,12.0,1
Hypotensive syncope,Syncope and collapse,12.0,1
Tussive syncope,C/O - cough,2.0,1
Amusia,[X]Other and unspecified symbolic dysfunctions,6.0,1
Amusia,[D]Other symbolic dysfunction,6.0,1
Anosognosia,[D]Other general symptoms NOS,3.0,1
Anosognosia,[D]Other general symptoms,3.0,1
Anarthria,[D]Other speech disturbance NOS,13.0,1
Anarthria,[D]Other speech disturbance,13.0,1
Motor apraxia,[X]Other and unspecified symbolic dysfunctions,6.0,1
Motor apraxia,[D]Other symbolic dysfunction,6.0,1
Generalized seizure,Seizure,169.0,1
Generalized seizure,Tonic-clonic seizure,2.0,1
Generalized seizure,Grand mal seizure,2.0,1
Central convulsion,Seizure,169.0,1
Puerperal convulsion,Seizure,169.0,1
Tetanic convulsion,Seizure,169.0,1
Epileptic cry,Seizure,169.0,1
Postseizure delirium,Seizure,169.0,1
Stress seizure,Seizure,169.0,1
Cortical vertigo,Subjective vertigo,12.0,1
Ocular vertigo,Subjective vertigo,12.0,1
Ocular vertigo,Dizziness and giddiness,3.0,1
Cerebellar vertigo,Subjective vertigo,12.0,1
Annular erythema,Erythema of skin,89.0,1
Annular erythema,Erythematous condition,89.0,1
Annular erythema,Familial annular erythema,3.0,1
"Simple partial seizure, consciousness not impaired",Seizure,169.0,1
"Simple partial seizure, consciousness not impaired",Partial seizure,22.0,1
Motor cortex epilepsy,Seizure,169.0,1
Cycloplegia,Internal ophthalmoplegia,3.0,1
Disorder of vein,Distended umbilical veins,1.0,1
Respiratory tract hemorrhage (disorder),Blood streaked sputum,2.0,1
Neonatal diarrhea,Diarrhea symptom,39.0,1
Neonatal diarrhea,Loose stool,39.0,1
Ocular-mucous membrane syndrome,Erythema of skin,89.0,1
Ocular-mucous membrane syndrome,Erythematous condition,89.0,1
Gastric polyp,Mass of digestive structure,22.0,1
Gastric polyposis,Mass of digestive structure,22.0,1
Application site disorder,Application site anesthesia,1.0,1
Lennox-Gastaut syndrome (disorder),Seizure,169.0,1
Juvenile myxedema,Hard edema,5.0,1
Polyp of larynx,Mass of respiratory structure,11.0,1
Spasm of back muscles,Spasm (finding),10.0,1
Autonomic facial cephalgia,Headache (finding),59.0,1
Carotidynia,Headache (finding),59.0,1
Autonomic facial cephalgia,Pain (finding),136.0,1
Carotidynia,Pain (finding),136.0,1
Liver mass,Mass of digestive structure,22.0,1
Induration of skin,Changes in skin texture,2.0,1
Endometriosis of pelvis,Pain (finding),136.0,1
Angiomatosis of retina,Mass of eye structure,7.0,1
Angiomatosis of retina,Swelling of structure of eye,7.0,1
Color vision deficiency,Visual alteration,9.0,1
Congenital disease,"Extensive congenital erosions, vesicles and reticulate scarring",3.0,1
Retinal edema,Localized retinal edema,1.0,1
Retinal edema,Peripheral retinal edema,1.0,1
Disorder of auditory system,Leudet's tinnitus,2.0,1
Auditory dysfunction,Leudet's tinnitus,2.0,1
Hearing disorder,Leudet's tinnitus,2.0,1
Histologic type of inflammatory skin disorder,Trypanosomal chancre,4.0,1
Diffuse dermatitis,Diffuse inflammation,11.0,1
Abscess of umbilicus,Disorder of umbilicus,12.0,1
Cellulitis of umbilicus,Disorder of umbilicus,12.0,1
Acute lymphangitis of umbilicus,Disorder of umbilicus,12.0,1
Juvenile pyoderma,Pustular rash (morphologic abnormality),7.0,1
Bacterid,Pustular rash (morphologic abnormality),7.0,1
Pustular bacterid,Pustular rash (morphologic abnormality),7.0,1
"Erythema multiforme, dermal type",Erythema of skin,89.0,1
"Erythema multiforme, dermal type",Erythematous condition,89.0,1
"Erythema multiforme, mixed dermal-epidermal type",Erythema of skin,89.0,1
"Erythema multiforme, mixed dermal-epidermal type",Erythematous condition,89.0,1
"Erythema multiforme, epidermal type",Erythema of skin,89.0,1
"Erythema multiforme, epidermal type",Erythematous condition,89.0,1
Erythema iris,Erythema of skin,89.0,1
Erythema iris,Erythematous condition,89.0,1
Herpes iris,Erythema of skin,89.0,1
Herpes iris,Erythematous condition,89.0,1
Immunologic urticaria,Immune complex urticaria,7.0,1
"Urticaria pigmentosa, maculopapular type",Macule (morphologic abnormality),5.0,1
Pruritus senilis,Pruritus of skin,26.0,1
Pruritus senilis,Itching of skin,26.0,1
Pruritus senilis,Itch of skin,26.0,1
Pruritus senilis,Other specified pruritic conditions (disorder),6.0,1
Prurigo simplex,Pruritus of skin,26.0,1
Prurigo simplex,Itching of skin,26.0,1
Prurigo simplex,Itch of skin,26.0,1
Prurigo nodularis (disorder),Pruritus of skin,26.0,1
Prurigo nodularis (disorder),Itching of skin,26.0,1
Prurigo nodularis (disorder),Itch of skin,26.0,1
Erythema gyratum repens,Erythema of skin,89.0,1
Erythema gyratum repens,Erythematous condition,89.0,1
Erythema annulare centrifugum,Erythema of skin,89.0,1
Erythema annulare centrifugum,Erythematous condition,89.0,1
Erythema annulare centrifugum,Familial annular erythema,3.0,1
Erythema dyschromicum perstans,Erythema of skin,89.0,1
Erythema dyschromicum perstans,Erythematous condition,89.0,1
"Other specified erythematous condition, NEC",Erythema of skin,89.0,1
"Other specified erythematous condition, NEC",Erythematous condition,89.0,1
Erythema elevatum diutinum (disorder),Erythema of skin,89.0,1
Erythema elevatum diutinum (disorder),Erythematous condition,89.0,1
Ulerythema,Erythema of skin,89.0,1
Ulerythema,Erythematous condition,89.0,1
Ulerythema of cheeks,Erythema of skin,89.0,1
Ulerythema of cheeks,Erythematous condition,89.0,1
Granulosis rubra nasi,Erythema of skin,89.0,1
Granulosis rubra nasi,Erythematous condition,89.0,1
Erythromelanosis follicularis of face AND/OR neck,Erythema of skin,89.0,1
Erythromelanosis follicularis of face AND/OR neck,Erythematous condition,89.0,1
Chlorpromazine pigmentation,Drug pigmentation,7.0,1
Chrysoderma,Drug pigmentation,7.0,1
Hypertrophic condition of skin,Abnormal granulation tissue,3.0,1
Painful piezogenic pedal papules,Pain (finding),136.0,1
Painful pigmented pressure papules,Pain (finding),136.0,1
Surfer's nodules,"[D]Local superficial swelling, mass or lump NOS",3.0,1
Surfer's nodules,"[D]Local superficial swelling, mass or lump",3.0,1
Slap nodules of wrist,"[D]Local superficial swelling, mass or lump NOS",3.0,1
Slap nodules of wrist,"[D]Local superficial swelling, mass or lump",3.0,1
Picker's nodules,"[D]Local superficial swelling, mass or lump NOS",3.0,1
Picker's nodules,"[D]Local superficial swelling, mass or lump",3.0,1
Musculoskeletal and connective tissue disorder,Polyalgia,3.0,1
"Effusion of joint of other site, NEC",Painful swelling of joint,2.0,1
Snapping hip (disorder),(Other joint symptoms of the pelvic region and thigh) or (hip snapping) or (irritable hip),1.0,1
Lumbago-sciatica due to displacement of lumbar intervertebral disc,Pain (finding),136.0,1
Lumbago-sciatica due to displacement of lumbar intervertebral disc,Sciatica (disorder),7.0,1
Grisel's syndrome,Wry neck/torticollis,5.0,1
Disorder of back,Ilioinguinal nerve neuralgia,7.0,1
Disorder of back,Genitofemoral nerve neuralgia,6.0,1
Putti-Chavany syndrome,Pain (finding),136.0,1
Putti-Chavany syndrome,Sciatica (disorder),7.0,1
Ganglion of aponeurosis,Mass of musculoskeletal structure,10.0,1
Disorder of soft tissue,Arm claudication,1.0,1
Primary fibrositis,Pain (finding),136.0,1
Secondary fibrositis,Pain (finding),136.0,1
Xiphoidalgia syndrome,Pain (finding),136.0,1
Segmental dysfunction,Pain finding at anatomical site,1.0,1
Edema of nasopharynx,Edema of uvula,3.0,1
Cyst of pharynx,Mass of respiratory structure,11.0,1
Cyst of pharynx,Mass of digestive structure,22.0,1
Laryngeal hemiplegia,Hemiplegia (disorder),11.0,1
Disorder of vocal cord,Aphonia paralytica,1.0,1
Grain-handlers' disease,Diffuse inflammation,11.0,1
Diaphragmatic cyst,Mass of musculoskeletal structure,10.0,1
Adductor spastic dysphonia,Spastic dysphonia,4.0,1
Adductor spastic dysphonia of organic voice tremor,Dysphonia of organic tremor,2.0,1
Abductor spastic dysphonia,Spastic dysphonia,4.0,1
Neurologic voice disorder,Flaccid dysphonia,2.0,1
Neurologic voice disorder,Spastic pseudobulbar dysphonia,2.0,1
Neurologic voice disorder,Dysphonia of organic tremor,2.0,1
Mixed flaccid-spastic pseudobulbar dysphonia,Flaccid dysphonia,2.0,1
Mixed flaccid-spastic pseudobulbar dysphonia,Spastic pseudobulbar dysphonia,2.0,1
Dysphonia of palatopharyngolaryngeal myoclonus,Myoclonic disorder,29.0,1
Apraxic aphonia,Loss of voice,5.0,1
Apraxic aphonia,[X]Other and unspecified symbolic dysfunctions,6.0,1
Apraxic aphonia,[D]Other symbolic dysfunction,6.0,1
Dysprosody of 'pseudoforeign dialect',[D]Other speech disturbance NOS,13.0,1
Dysprosody of 'pseudoforeign dialect',[D]Other speech disturbance,13.0,1
Vocal nodules in children,Mass of respiratory structure,11.0,1
Vocal nodules in adults,Mass of respiratory structure,11.0,1
"Angina, class I",Angina,23.0,1
"Angina, class I",Ischemic chest pain,23.0,1
"Angina, class I",Pain (finding),136.0,1
"Angina, class I",[X]Other forms of angina pectoris,14.0,1
"Angina, class II",Angina,23.0,1
"Angina, class II",Ischemic chest pain,23.0,1
"Angina, class II",Pain (finding),136.0,1
"Angina, class II",[X]Other forms of angina pectoris,14.0,1
"Angina, class III",Angina,23.0,1
"Angina, class III",Ischemic chest pain,23.0,1
"Angina, class III",Pain (finding),136.0,1
"Angina, class III",[X]Other forms of angina pectoris,14.0,1
"Angina, class IV",Angina,23.0,1
"Angina, class IV",Ischemic chest pain,23.0,1
"Angina, class IV",Pain (finding),136.0,1
"Angina, class IV",[X]Other forms of angina pectoris,14.0,1
Nocturnal angina,Angina,23.0,1
Nocturnal angina,Ischemic chest pain,23.0,1
Nocturnal angina,Pain (finding),136.0,1
Status anginosus,Angina,23.0,1
Status anginosus,Ischemic chest pain,23.0,1
Status anginosus,Pain (finding),136.0,1
Status anginosus,[X]Other forms of angina pectoris,14.0,1
Syncope anginosa,Angina,23.0,1
Syncope anginosa,Ischemic chest pain,23.0,1
Syncope anginosa,Pain (finding),136.0,1
Syncope anginosa,[X]Other forms of angina pectoris,14.0,1
Acute coronary insufficiency,Pain (finding),136.0,1
Conduction disorder of the heart (disorder),Tic-tac rhythm,1.0,1
Cyanotic congenital heart disease (disorder),Cyanosis of skin,6.0,1
Cyanotic congenital heart disease (disorder),Central cyanosis (disorder),2.0,1
Congenital aneurysm of aorta,Mass of trunk,4.0,1
Congenital koilonychia,Koilonychia,5.0,1
Globulo-maxillary cyst,Mass of digestive structure,22.0,1
Median palatal cyst,Mass of oral cavity,7.0,1
Naso-labial cyst,Mass of digestive structure,22.0,1
Endemic colic,Colicky pain,2.0,1
Gingival polyp,Mass of oral cavity,7.0,1
Disorder of oral soft tissues,Palatal myoclonus,5.0,1
Disorder of oral soft tissues,Edema of oral soft tissues,4.0,1
Disorder of oral soft tissues,Sublingual sialectasia,1.0,1
Lymphoepithelial cyst of mouth,Mass of digestive structure,22.0,1
Granuloma of lip,Mass of oral cavity,7.0,1
Nonulcer dyspepsia (disorder),Indigestion symptoms,1.0,1
Nonulcer dyspepsia (disorder),Indigestion symptom NOS,1.0,1
Habit vomiting (disorder),Finding of vomiting,16.0,1
Habit vomiting (disorder),Vomiting symptom,16.0,1
Habit vomiting (disorder),Uncontrollable vomiting,3.0,1
Vomiting in infants AND/OR children,Finding of vomiting,16.0,1
Vomiting in infants AND/OR children,Vomiting symptom,16.0,1
Vomiting in infants AND/OR children,Vomiting in newborn,2.0,1
Drug-induced nausea and vomiting,Nausea and vomiting (disorder),2.0,1
Drug-induced nausea and vomiting,Finding of vomiting,16.0,1
Drug-induced nausea and vomiting,Vomiting symptom,16.0,1
Drug-induced nausea and vomiting,[D]Drug-induced vomiting,1.0,1
Isolated idiopathic granuloma of stomach,Mass of digestive structure,22.0,1
Alimentary tract pain due to vascular insufficiency,Pain (finding),136.0,1
Non-infective diarrhea,Diarrhea symptom,39.0,1
Non-infective diarrhea,Loose stool,39.0,1
Allergic diarrhea,Diarrhea symptom,39.0,1
Allergic diarrhea,Loose stool,39.0,1
Dietetic diarrhea,Diarrhea symptom,39.0,1
Dietetic diarrhea,Loose stool,39.0,1
Granuloma of intestine,Mass of digestive structure,22.0,1
Chronic idiopathic constipation,Constipation (disorder),12.0,1
Chronic idiopathic constipation,Chronic constipation,1.0,1
Constipation by outlet obstruction,Constipation (disorder),12.0,1
Drug-induced constipation,Constipation (disorder),12.0,1
Chronic idiopathic anal pain,Anal pain (finding),2.0,1
Enterospasm,Bowel spasm,4.0,1
Colonospasm (disorder),Bowel spasm,4.0,1
Bilious vomiting following gastrointestinal surgery,Finding of vomiting,16.0,1
Bilious vomiting following gastrointestinal surgery,Vomiting symptom,16.0,1
Bilious vomiting following gastrointestinal surgery,Postoperative vomiting,1.0,1
Tympanites of cecum,"Flatulence, eructation and gas pain",1.0,1
Osmotic diarrhea,Diarrhea symptom,39.0,1
Osmotic diarrhea,Loose stool,39.0,1
Osmotic diarrhea,Diarrhea due to ingestion of unabsorbable substances,2.0,1
Secretory diarrhea,Diarrhea symptom,39.0,1
Secretory diarrhea,Loose stool,39.0,1
Drug AND/OR toxin-induced diarrhea,Diarrhea symptom,39.0,1
Drug AND/OR toxin-induced diarrhea,Loose stool,39.0,1
Disorder of appendix,Appendiceal colic,2.0,1
Disorder of appendix,Appendicular colic,2.0,1
Idiopathic diffuse ulcerative nongranulomatous enteritis,Diffuse inflammation,11.0,1
Postcholecystectomy diarrhea,Diarrhea symptom,39.0,1
Postcholecystectomy diarrhea,Loose stool,39.0,1
Diarrhea due to alcohol intake,Diarrhea symptom,39.0,1
Diarrhea due to alcohol intake,Loose stool,39.0,1
Raw-milk associated diarrhea,Diarrhea symptom,39.0,1
Raw-milk associated diarrhea,Loose stool,39.0,1
Chronic diarrhea of infants AND/OR young children,Diarrhea symptom,39.0,1
Chronic diarrhea of infants AND/OR young children,Loose stool,39.0,1
Congenital secretory diarrhea,Diarrhea symptom,39.0,1
Congenital secretory diarrhea,Loose stool,39.0,1
"Congenital secretory diarrhea, chloride type",Diarrhea symptom,39.0,1
"Congenital secretory diarrhea, chloride type",Loose stool,39.0,1
"Congenital secretory diarrhea, sodium type",Diarrhea symptom,39.0,1
"Congenital secretory diarrhea, sodium type",Loose stool,39.0,1
Parasitic fibroid,Mass of body region,3.0,1
Liver cyst,Mass of digestive structure,22.0,1
Recurrent biliary colic,Recurrent abdominal pain,1.0,1
Semi-starvation,Starvation (disorder),5.0,1
Hyposmolality,Coordination problem,12.0,1
Hypotonic disorder,Coordination problem,12.0,1
Disorder of acid-base balance,Hypercapnia (disorder),5.0,1
Disorder of acid-base balance,Hypocapnia (disorder),2.0,1
Starvation ketoacidosis,Starvation (disorder),5.0,1
Hypercapnia with mixed acid-base disorder,Hypercapnia (disorder),5.0,1
Normosomatic sialidosis,Myoclonic disorder,29.0,1
Disorder of bilirubin metabolism,Hepatocellular jaundice,4.0,1
Acute cholestatic jaundice syndrome,[D]Jaundice (not of newborn),5.0,1
Acute cholestatic jaundice syndrome,[D]Jaundice (not of newborn) NOS,5.0,1
Chronic cholestatic jaundice syndrome,[D]Jaundice (not of newborn),5.0,1
Chronic cholestatic jaundice syndrome,[D]Jaundice (not of newborn) NOS,5.0,1
Cholestasis of pregnancy (disorder),Pruritus of pregnancy,2.0,1
"Corneal fragility keratoglobus, blue sclerae AND joint hypermobility",Scleral discoloration,3.0,1
Dipsogenic diabetes insipidus,Polyuric state,3.0,1
Urethral cyst,Mass of urinary system structure,3.0,1
Disorder of scrotum,Burning scrotum,4.0,1
Disorder of scrotum,Scrotal pruritus,3.0,1
Infertility due to complete spermatogenic arrest,Complete spermatogenic arrest,2.0,1
Infertility due to incomplete spermatogenic arrest,Incomplete spermatogenic arrest,2.0,1
Essential vulvodynia,Pain (finding),136.0,1
Idiopathic vulvodynia,Pain (finding),136.0,1
Endometriotic cyst,Pain (finding),136.0,1
Endometrial cyst of ovary,Pain (finding),136.0,1
Implanted endometriosis,Pain (finding),136.0,1
Deciduomatosis,Pain (finding),136.0,1
Endosalpingiosis,Pain (finding),136.0,1
Endometriosis of cervix,Pain (finding),136.0,1
Endometriosis of parametrium,Pain (finding),136.0,1
Endometriosis of broad ligament,Pain (finding),136.0,1
Endometriosis of round ligament,Pain (finding),136.0,1
Endometriosis of the cul-de-sac,Pain (finding),136.0,1
Endometriosis of rectovaginal septum,Pain (finding),136.0,1
Endometriosis of vagina,Pain (finding),136.0,1
Endometriosis of vulva,Pain (finding),136.0,1
Endometriosis of appendix,Pain (finding),136.0,1
Endometriosis of colon,Pain (finding),136.0,1
Endometriosis of rectum,Pain (finding),136.0,1
Endometriosis of bladder,Pain (finding),136.0,1
Endometriosis of lung,Pain (finding),136.0,1
Endometriosis of umbilicus,Pain (finding),136.0,1
Endometriosis of umbilicus,Disorder of umbilicus,12.0,1
Noninflammatory disorder of the female genital organs,Vulvovaginal dryness,1.0,1
Cyst of fallopian tube,Mass of uterine adnexa,3.0,1
Cyst of broad ligament,Mass of uterine adnexa,3.0,1
Cyst of uterus,Mass of female genital structure,7.0,1
Cyst of vulva,Perineal lump (finding),6.0,1
Cyst of vulva,Mass of female genital structure,7.0,1
Induration of breast,[X]Other signs and symptoms in breast,2.0,1
Oliguria following molar AND/OR ectopic pregnancy,Oliguria (finding),2.0,1
Eclampsia added to pre-existing hypertension,Seizure,169.0,1
Hyperemesis gravidarum before end of 22 week gestation with carbohydrate depletion,Hyperemesis gravidarum,6.0,1
Hyperemesis gravidarum before end of 22 week gestation with carbohydrate depletion,Finding of vomiting,16.0,1
Hyperemesis gravidarum before end of 22 week gestation with carbohydrate depletion,Vomiting symptom,16.0,1
Hyperemesis gravidarum before end of 22 week gestation with dehydration,Hyperemesis gravidarum,6.0,1
Hyperemesis gravidarum before end of 22 week gestation with dehydration,Finding of vomiting,16.0,1
Hyperemesis gravidarum before end of 22 week gestation with dehydration,Vomiting symptom,16.0,1
Hyperemesis gravidarum before end of 22 week gestation with electrolyte imbalance,Hyperemesis gravidarum,6.0,1
Hyperemesis gravidarum before end of 22 week gestation with electrolyte imbalance,Finding of vomiting,16.0,1
Hyperemesis gravidarum before end of 22 week gestation with electrolyte imbalance,Vomiting symptom,16.0,1
Vomiting due to organic disease during pregnancy,Finding of vomiting,16.0,1
Vomiting due to organic disease during pregnancy,Vomiting symptom,16.0,1
Dyscoordinate labor,"Uterine incoordination, first degree",1.0,1
Disorder of breast associated with childbirth,Vascular engorgement of breast,1.0,1
Perinatal cyanotic attacks,Cyanosis of skin,6.0,1
Perinatal cyanotic attacks,Neonatal cyanosis,2.0,1
Perinatal respiratory distress,Respiratory distress (finding),3.0,1
"Fetal and neonatal jaundice, unspecified",Newborn physiological jaundice (disorder),8.0,1
Fetal AND/OR neonatal jaundice,Newborn physiological jaundice (disorder),8.0,1
Unspecified fetal or neonatal jaundice NOS,Newborn physiological jaundice (disorder),8.0,1
Lucey-Driscoll syndrome,Newborn physiological jaundice (disorder),8.0,1
Perinatal jaundice from causes classified elsewhere,Newborn physiological jaundice (disorder),8.0,1
Diurnal only enuresis,[D]Enuresis NOS,3.0,1
Diurnal only enuresis,Enuresis (& [bedwetting]),3.0,1
Diurnal only enuresis,[D]Enuresis,3.0,1
Diurnal only enuresis,Enuresis [D],3.0,1
Hypothermia-sweating syndrome,[D]Other general symptoms NOS,3.0,1
Hypothermia-sweating syndrome,[D]Other general symptoms,3.0,1
Aphasia-left parietal lobe syndrome,[X]Other and unspecified symbolic dysfunctions,6.0,1
Aphasia-left parietal lobe syndrome,[D]Other symbolic dysfunction,6.0,1
Essential tremor,Static tremor,2.0,1
Familial essential myoclonus,Myoclonic disorder,29.0,1
Double athetosis,Athetoid movement,8.0,1
Sanger-Brown cerebellar ataxia,Cerebellar ataxia,11.0,1
Nothnagel's syndrome,Cerebellar ataxia,11.0,1
Posthemiplegic athetosis,Athetoid movement,8.0,1
Athetosis with rigidity,Athetoid movement,8.0,1
Athetosis with spastic paraplegia,Athetoid movement,8.0,1
Paralytic syndrome,Paraparesis (disorder),2.0,1
Paralytic syndromes,Paraparesis (disorder),2.0,1
Facial hemiplegia,Hemiplegia (disorder),11.0,1
Facial hemiparesis,Unilateral facial paresis,1.0,1
Hemiplegic cerebral palsy (disorder),Hemiplegia (disorder),11.0,1
Lethal neonatal spasticity,Spasticity,2.0,1
Spastic syndrome (disorder),Spastic dysphonia,4.0,1
Cursive seizure,Seizure,169.0,1
Cursive (running) epilepsy,Seizure,169.0,1
Cursive seizure,Partial seizure,22.0,1
Cursive (running) epilepsy,Partial seizure,22.0,1
Gelastic seizure,Seizure,169.0,1
Gelastic seizure,Partial seizure,22.0,1
Retropulsion petit mal,Seizure,169.0,1
Centrencephalic epilepsy,Seizure,169.0,1
Centrencephalic epilepsy,Partial seizure,22.0,1
Petit mal status (disorder),Seizure,169.0,1
Visual epilepsy,Seizure,169.0,1
Visceral epilepsy,Seizure,169.0,1
Visceral epilepsy,Partial seizure,22.0,1
Unclassified epileptic seizures,Seizure,169.0,1
Simple partial seizure with somatosensory or special sensory dysfunction,Seizure,169.0,1
Simple partial seizure with special sensory symptoms,Seizure,169.0,1
Epileptic automatism,Seizure,169.0,1
Secondarily generalized seizures,Tonic-clonic seizure,2.0,1
Secondarily generalized seizures,Grand mal seizure,2.0,1
Atonic seizure,Seizure,169.0,1
Epileptic drop attack,Seizure,169.0,1
Benign focal epilepsy of childhood,Seizure,169.0,1
Benign focal epilepsy of childhood,Partial seizure,22.0,1
Extratemporal epilepsy,Seizure,169.0,1
Extratemporal epilepsy,Partial seizure,22.0,1
Idiopathic generalized epilepsy (disorder),Seizure,169.0,1
Benign neonatal convulsions,Seizure,169.0,1
Juvenile myoclonic epilepsy,Seizure,169.0,1
Symptomatic generalized epilepsy,Seizure,169.0,1
Early myoclonic encephalopathy (disorder),Myoclonic disorder,29.0,1
Reflex epilepsy,Seizure,169.0,1
Abdominal migraine,Abdominal migraine - symptom,1.0,1
Lower half migraine,Headache (finding),59.0,1
Basilar migraine,Headache (finding),59.0,1
Basilar migraine,Subjective vertigo,12.0,1
Retinal migraine,Headache (finding),59.0,1
Hemiplegic migraine,Headache (finding),59.0,1
Facial myokymia,Myokymia (finding),1.0,1
Alternating hypoglossal hemiplegia,Hemiplegia (disorder),11.0,1
Hypoglossal-pyramid syndrome,Hemiplegia (disorder),11.0,1
Myotonia acquisita,Spasm (finding),10.0,1
Juvenile cerebellar degeneration AND myoclonus,Myoclonic disorder,29.0,1
Ill-defined disorder of eye,Red eye,2.0,1
Pseudocyst of retina,Mass of eye structure,7.0,1
Pseudocyst of retina,Swelling of structure of eye,7.0,1
Concentric fading of visual field,Subjective visual disturbance,7.0,1
Refractive polyopia,Monocular diplopia,2.0,1
Impairment level of both eyes,Impairment level: low vision of both eyes,5.0,1
Impairment level of both eyes,"Low vision, both eyes",5.0,1
Blindness of one eye,Painful blind eye,2.0,1
Corneal anesthesia (finding),Absence of sensation (finding),2.0,1
Acquired blepharophimosis,Narrowing of palpebral fissure,1.0,1
Pendular nystagmus,Oculopalatal myoclonus,2.0,1
Vitreous liquifaction (disorder),Vitreous cavitation,1.0,1
Diffuse otitis externa,Diffuse inflammation,11.0,1
Vertiginous syndrome,Subjective vertigo,12.0,1
Vertiginous syndrome,Multisensory dizziness,2.0,1
